source,target,weight,weight_normalized,connected
alice,alice´s father,1.0,1.0,False
alice,alice´s mother,1.0,1.0,False
alice,bill the lizard,10.0,7.9,True
alice,black knight,1.0,1.0,False
alice,cheshire cat,10.0,7.9,True
alice,dodo,20.0,15.8,True
alice,dormouse,30.0,23.7,True
alice,duchess,5.0,4.0,True
alice,duck,20.0,15.8,True
alice,eaglet,20.0,15.8,True
alice,executor,10.0,7.9,True
alice,frog the footman,10.0,7.9,True
alice,governess,1.0,1.0,False
alice,gryphon,10.0,7.9,True
alice,king of hearts,10.0,7.9,True
alice,knave of hearts,5.0,4.0,True
alice,lory,20.0,15.8,True
alice,mad hatter,1.0,1.0,False
alice,march hare,15.0,11.9,True
alice,mock turtle,10.0,7.9,True
alice,mouse,15.0,11.9,True
alice,nanny,1.0,1.0,False
alice,pat,10.0,7.9,True
alice,queen of hearts,12.5,9.9,True
alice,rose painting card five,5.0,4.0,True
alice,rose painting card seven,5.0,4.0,True
alice,rose painting card two,5.0,4.0,True
alice,smoking caterpilar,1.0,1.0,False
alice,tiger lily,1.0,1.0,False
alice,tweedledee,1.0,1.0,False
alice,tweedledum,1.0,1.0,False
alice,white rabbit,11.428571428571427,9.0,True
alice,white knight,1.0,1.0,False
alice,daisies (chorus),1.0,1.0,False
alice,giant puppy,10.0,7.9,True
alice,jury of guinea pigs (chorus),1.0,1.0,False
alice,pig baby,10.0,7.9,True
alice,red bishop (attorney one),1.0,1.0,False
alice,roses (chorus),1.0,1.0,False
alice,white tour (attorney two),1.0,1.0,False
alice,duchess´s cook,1.0,1.0,False
alice´s father,alice´s mother,1.0,1.0,False
alice´s father,governess,1.0,1.0,False
alice´s mother,governess,1.0,1.0,False
alice´s mother,nanny,1.0,1.0,False
bill the lizard,pat,10.0,7.9,True
bill the lizard,white rabbit,10.0,7.9,True
black knight,white knight,1.0,1.0,False
cheshire cat,duchess,10.0,7.9,True
cheshire cat,executor,10.0,7.9,True
cheshire cat,king of hearts,10.0,7.9,True
cheshire cat,queen of hearts,10.0,7.9,True
cheshire cat,white rabbit,10.0,7.9,True
cheshire cat,pig baby,20.0,15.8,True
dodo,duck,20.0,15.8,True
dodo,eaglet,20.0,15.8,True
dodo,lory,20.0,15.8,True
dodo,mouse,20.0,15.8,True
dormouse,mad hatter,1.0,1.0,False
dormouse,march hare,30.0,23.7,True
duchess,executor,1.0,1.0,False
duchess,king of hearts,1.0,1.0,False
duchess,knave of hearts,1.0,1.0,False
duchess,mad hatter,1.0,1.0,False
duchess,march hare,1.0,1.0,False
duchess,queen of hearts,3.333333333333333,2.6,True
duchess,white rabbit,1.0,1.0,False
duchess,jury of guinea pigs (chorus),1.0,1.0,False
duchess,pig baby,10.0,7.9,True
duchess,red bishop (attorney one),1.0,1.0,False
duchess,white tour (attorney two),1.0,1.0,False
duchess,duchess´s cook,1.0,1.0,False
duck,eaglet,20.0,15.8,True
duck,lory,20.0,15.8,True
duck,mouse,20.0,15.8,True
eaglet,lory,20.0,15.8,True
eaglet,mouse,20.0,15.8,True
executor,king of hearts,10.0,7.9,True
executor,queen of hearts,10.0,7.9,True
executor,white rabbit,10.0,7.9,True
frog the footman,fish the footman,10.0,7.9,True
governess,nanny,1.0,1.0,False
gryphon,mock turtle,10.0,7.9,True
king of hearts,knave of hearts,5.0,4.0,True
king of hearts,mad hatter,1.0,1.0,False
king of hearts,march hare,10.0,7.9,True
king of hearts,queen of hearts,10.0,7.9,True
king of hearts,rose painting card five,1.0,1.0,False
king of hearts,rose painting card seven,1.0,1.0,False
king of hearts,rose painting card two,1.0,1.0,False
king of hearts,white rabbit,10.0,7.9,True
king of hearts,jury of guinea pigs (chorus),1.0,1.0,False
king of hearts,red bishop (attorney one),1.0,1.0,False
king of hearts,white tour (attorney two),1.0,1.0,False
king of hearts,duchess´s cook,1.0,1.0,False
knave of hearts,mad hatter,1.0,1.0,False
knave of hearts,march hare,1.0,1.0,False
knave of hearts,queen of hearts,5.0,4.0,True
knave of hearts,rose painting card five,1.0,1.0,False
knave of hearts,rose painting card seven,1.0,1.0,False
knave of hearts,rose painting card two,1.0,1.0,False
knave of hearts,white rabbit,5.0,4.0,True
knave of hearts,jury of guinea pigs (chorus),1.0,1.0,False
knave of hearts,red bishop (attorney one),1.0,1.0,False
knave of hearts,white tour (attorney two),1.0,1.0,False
knave of hearts,duchess´s cook,1.0,1.0,False
lory,mouse,20.0,15.8,True
mad hatter,march hare,1.0,1.0,False
mad hatter,queen of hearts,1.0,1.0,False
mad hatter,white rabbit,1.0,1.0,False
mad hatter,jury of guinea pigs (chorus),1.0,1.0,False
mad hatter,red bishop (attorney one),1.0,1.0,False
mad hatter,white tour (attorney two),1.0,1.0,False
mad hatter,duchess´s cook,1.0,1.0,False
march hare,queen of hearts,10.0,7.9,True
march hare,white rabbit,10.0,7.9,True
march hare,jury of guinea pigs (chorus),1.0,1.0,False
march hare,red bishop (attorney one),1.0,1.0,False
march hare,white tour (attorney two),1.0,1.0,False
march hare,duchess´s cook,1.0,1.0,False
pat,white rabbit,10.0,7.9,True
queen of hearts,rose painting card five,10.0,7.9,True
queen of hearts,rose painting card seven,10.0,7.9,True
queen of hearts,rose painting card two,10.0,7.9,True
queen of hearts,white rabbit,10.0,7.9,True
queen of hearts,jury of guinea pigs (chorus),1.0,1.0,False
queen of hearts,red bishop (attorney one),1.0,1.0,False
queen of hearts,white tour (attorney two),1.0,1.0,False
queen of hearts,duchess´s cook,1.0,1.0,False
rose painting card five,rose painting card seven,5.0,4.0,True
rose painting card five,rose painting card two,5.0,4.0,True
rose painting card five,white rabbit,1.0,1.0,False
rose painting card seven,rose painting card two,5.0,4.0,True
rose painting card seven,white rabbit,1.0,1.0,False
rose painting card two,white rabbit,1.0,1.0,False
tiger lily,daisies (chorus),1.0,1.0,False
tiger lily,roses (chorus),1.0,1.0,False
tweedledee,moon (tweedledee),1.0,1.0,False
tweedledee,tweedledum,1.0,1.0,False
tweedledum,sun (tweedledum),1.0,1.0,False
white rabbit,jury of guinea pigs (chorus),1.0,1.0,False
white rabbit,red bishop (attorney one),1.0,1.0,False
white rabbit,white tour (attorney two),1.0,1.0,False
white rabbit,duchess´s cook,1.0,1.0,False
daisies (chorus),roses (chorus),1.0,1.0,False
jury of guinea pigs (chorus),red bishop (attorney one),1.0,1.0,False
jury of guinea pigs (chorus),white tour (attorney two),1.0,1.0,False
jury of guinea pigs (chorus),duchess´s cook,1.0,1.0,False
pig baby,duchess´s cook,1.0,1.0,False
red bishop (attorney one),white tour (attorney two),1.0,1.0,False
red bishop (attorney one),duchess´s cook,1.0,1.0,False
white tour (attorney two),duchess´s cook,1.0,1.0,False
moon (tweedledee),carpenter,1.0,1.0,False
moon (tweedledee),sun (tweedledum),1.0,1.0,False
moon (tweedledee),warlus,1.0,1.0,False
moon (tweedledee),oysters,1.0,1.0,False
sun (tweedledum),carpenter,1.0,1.0,False
sun (tweedledum),warlus,1.0,1.0,False
sun (tweedledum),oysters,1.0,1.0,False
carpenter,warlus,1.0,1.0,False
carpenter,oysters,1.0,1.0,False
warlus,oysters,1.0,1.0,False
