source,target,weight,weight_normalized,connected
alice,pig baby,20.0,18.1,True
alice,bill the lizard,10.0,9.1,True
alice,canary,1.0,1.0,False
alice,dodo,10.0,9.1,True
alice,dormouse,5.0,4.5,True
alice,duchess,20.0,18.1,True
alice,duchess's cook,1.0,1.0,False
alice,duck,10.0,9.1,True
alice,eaglet,10.0,9.1,True
alice,executor,10.0,9.1,True
alice,fish the footman,1.0,1.0,False
alice,frog the footman,10.0,9.1,True
alice,giant puppy,10.0,9.1,True
alice,gryphon,5.0,4.5,True
alice,mad hatter,10.0,9.1,True
alice,jurors,1.0,1.0,False
alice,king of hearts,10.0,9.1,True
alice,knave of hearts,20.0,18.1,True
alice,lory,10.0,9.1,True
alice,magpie,1.0,1.0,False
alice,march hare,10.0,9.1,True
alice,mock turtle,5.0,4.5,True
alice,mouse,10.0,9.1,True
alice,old crab,1.0,1.0,False
alice,pat,10.0,9.1,True
alice,pigeon,1.0,1.0,False
alice,queen of hearts,10.0,9.1,True
alice,rose painting card five,20.0,18.1,True
alice,rose painting card seven,20.0,18.1,True
alice,rose painting card two,20.0,18.1,True
alice,sister,1.0,1.0,False
alice,smoking caterpillar,1.0,1.0,False
alice,ten soldiers,1.0,1.0,False
alice,white rabbit,11.666666666666668,10.6,True
alice,young crab,1.0,1.0,False
alice,cheshire cat,20.0,18.1,True
pig baby,duchess,10.0,9.1,True
pig baby,fish the footman,1.0,1.0,False
pig baby,frog the footman,1.0,1.0,False
pig baby,cheshire cat,10.0,9.1,True
bill the lizard,giant puppy,1.0,1.0,False
bill the lizard,pat,10.0,9.1,True
bill the lizard,white rabbit,10.0,9.1,True
canary,dodo,1.0,1.0,False
canary,duck,1.0,1.0,False
canary,eaglet,1.0,1.0,False
canary,lory,1.0,1.0,False
canary,magpie,1.0,1.0,False
canary,mouse,1.0,1.0,False
canary,old crab,1.0,1.0,False
canary,young crab,1.0,1.0,False
dodo,duck,10.0,9.1,True
dodo,eaglet,10.0,9.1,True
dodo,lory,10.0,9.1,True
dodo,magpie,1.0,1.0,False
dodo,mouse,10.0,9.1,True
dodo,old crab,1.0,1.0,False
dodo,young crab,1.0,1.0,False
dormouse,duchess's cook,1.0,1.0,False
dormouse,mad hatter,5.0,4.5,True
dormouse,jurors,1.0,1.0,False
dormouse,king of hearts,1.0,1.0,False
dormouse,march hare,5.0,4.5,True
dormouse,queen of hearts,1.0,1.0,False
dormouse,white rabbit,1.0,1.0,False
duchess,fish the footman,1.0,1.0,False
duchess,frog the footman,1.0,1.0,False
duchess,gryphon,1.0,1.0,False
duchess,mock turtle,1.0,1.0,False
duchess,queen of hearts,30.0,27.2,True
duchess,cheshire cat,10.0,9.1,True
duchess's cook,mad hatter,1.0,1.0,False
duchess's cook,jurors,1.0,1.0,False
duchess's cook,king of hearts,1.0,1.0,False
duchess's cook,march hare,1.0,1.0,False
duchess's cook,queen of hearts,1.0,1.0,False
duchess's cook,white rabbit,1.0,1.0,False
duck,eaglet,10.0,9.1,True
duck,lory,10.0,9.1,True
duck,magpie,1.0,1.0,False
duck,mouse,10.0,9.1,True
duck,old crab,1.0,1.0,False
duck,young crab,1.0,1.0,False
eaglet,lory,10.0,9.1,True
eaglet,magpie,1.0,1.0,False
eaglet,mouse,10.0,9.1,True
eaglet,old crab,1.0,1.0,False
eaglet,young crab,1.0,1.0,False
executor,king of hearts,10.0,9.1,True
executor,queen of hearts,10.0,9.1,True
executor,rose painting card five,1.0,1.0,False
executor,rose painting card seven,1.0,1.0,False
executor,rose painting card two,1.0,1.0,False
executor,ten soldiers,1.0,1.0,False
executor,white rabbit,10.0,9.1,True
executor,cheshire cat,10.0,9.1,True
fish the footman,frog the footman,10.0,9.1,True
fish the footman,cheshire cat,1.0,1.0,False
frog the footman,cheshire cat,1.0,1.0,False
giant puppy,pat,1.0,1.0,False
giant puppy,white rabbit,1.0,1.0,False
gryphon,mock turtle,5.0,4.5,True
gryphon,queen of hearts,1.0,1.0,False
mad hatter,jurors,1.0,1.0,False
mad hatter,king of hearts,10.0,9.1,True
mad hatter,march hare,10.0,9.1,True
mad hatter,queen of hearts,10.0,9.1,True
mad hatter,white rabbit,10.0,9.1,True
jurors,king of hearts,1.0,1.0,False
jurors,march hare,1.0,1.0,False
jurors,queen of hearts,1.0,1.0,False
jurors,white rabbit,1.0,1.0,False
king of hearts,knave of hearts,20.0,18.1,True
king of hearts,march hare,10.0,9.1,True
king of hearts,queen of hearts,10.0,9.1,True
king of hearts,rose painting card five,10.0,9.1,True
king of hearts,rose painting card seven,10.0,9.1,True
king of hearts,rose painting card two,10.0,9.1,True
king of hearts,sister,1.0,1.0,False
king of hearts,ten soldiers,1.0,1.0,False
king of hearts,white rabbit,10.0,9.1,True
king of hearts,cheshire cat,10.0,9.1,True
knave of hearts,queen of hearts,20.0,18.1,True
knave of hearts,sister,1.0,1.0,False
knave of hearts,white rabbit,20.0,18.1,True
lory,magpie,1.0,1.0,False
lory,mouse,10.0,9.1,True
lory,old crab,1.0,1.0,False
lory,young crab,1.0,1.0,False
magpie,mouse,1.0,1.0,False
magpie,old crab,1.0,1.0,False
magpie,young crab,1.0,1.0,False
march hare,queen of hearts,10.0,9.1,True
march hare,white rabbit,10.0,9.1,True
mock turtle,queen of hearts,1.0,1.0,False
mouse,old crab,1.0,1.0,False
mouse,white rabbit,1.0,1.0,False
mouse,young crab,1.0,1.0,False
old crab,young crab,1.0,1.0,False
pat,white rabbit,10.0,9.1,True
pigeon,smoking caterpillar,1.0,1.0,False
queen of hearts,rose painting card five,10.0,9.1,True
queen of hearts,rose painting card seven,10.0,9.1,True
queen of hearts,rose painting card two,10.0,9.1,True
queen of hearts,sister,1.0,1.0,False
queen of hearts,ten soldiers,1.0,1.0,False
queen of hearts,white rabbit,10.0,9.1,True
queen of hearts,cheshire cat,10.0,9.1,True
rose painting card five,rose painting card seven,20.0,18.1,True
rose painting card five,rose painting card two,20.0,18.1,True
rose painting card five,ten soldiers,1.0,1.0,False
rose painting card five,white rabbit,10.0,9.1,True
rose painting card five,cheshire cat,1.0,1.0,False
rose painting card seven,rose painting card two,20.0,18.1,True
rose painting card seven,ten soldiers,1.0,1.0,False
rose painting card seven,white rabbit,10.0,9.1,True
rose painting card seven,cheshire cat,1.0,1.0,False
rose painting card two,ten soldiers,1.0,1.0,False
rose painting card two,white rabbit,10.0,9.1,True
rose painting card two,cheshire cat,1.0,1.0,False
sister,white rabbit,1.0,1.0,False
ten soldiers,white rabbit,1.0,1.0,False
ten soldiers,cheshire cat,1.0,1.0,False
white rabbit,cheshire cat,10.0,9.1,True
